TR_ms B1_uT dwRF_Hz FA Tsat_ms
15000 0.0 0 90 2500
3500 2.0 2403 90 2500
3500 2.0 1802 90 2500
3500 1.7 1802 90 2500
3500 1.5 3003 90 2500
3500 1.2 3003 90 2500
3500 1.2 3003 90 2500
3500 3.0 2403 90 2500
3500 0.5 1802 90 2500
3500 3.0 2403 90 2500
3500 1.0 4205 90 2500
3500 2.2 4205 90 2500
3500 3.2 3003 90 2500
3500 1.5 1802 90 2500
3500 0.7 3003 90 2500
3500 1.5 2403 90 2500
3500 2.2 1802 90 2500
3500 2.5 2403 90 2500
3500 1.2 3003 90 2500
3500 3.0 4205 90 2500
3500 0.2 4205 90 2500
3500 1.5 1802 90 2500
3500 2.5 2403 90 2500
3500 0.7 4205 90 2500
3500 4.0 1802 90 2500
3500 3.2 4205 90 2500
3500 3.5 4205 90 2500
3500 1.5 4205 90 2500
3500 2.7 2403 90 2500
3500 0.7 3003 90 2500
3500 0.5 2403 90 2500
