TR_ms B1_uT dwRF_Hz FA Tsat_ms
15000 0.0 0 90 2500
3500 2.0 -1051 90 2500
3500 2.0 -1051 90 2500
3500 1.7 -1051 90 2500
3500 1.5 -1051 90 2500
3500 1.2 -1051 90 2500
3500 1.2 -1051 90 2500
3500 3.0 -1051 90 2500
3500 0.5 -1051 90 2500
3500 3.0 -1051 90 2500
3500 1.0 -1051 90 2500
3500 2.2 -1051 90 2500
3500 3.2 -1051 90 2500
3500 1.5 -1051 90 2500
3500 0.7 -1051 90 2500
3500 1.5 -1051 90 2500
3500 2.2 -1051 90 2500
3500 2.5 -1051 90 2500
3500 1.2 -1051 90 2500
3500 3.0 -1051 90 2500
3500 0.2 -1051 90 2500
3500 1.5 -1051 90 2500
3500 2.5 -1051 90 2500
3500 0.7 -1051 90 2500
3500 4.0 -1051 90 2500
3500 3.2 -1051 90 2500
3500 3.5 -1051 90 2500
3500 1.5 -1051 90 2500
3500 2.7 -1051 90 2500
3500 0.7 -1051 90 2500
3500 0.5 -1051 90 2500
