TR_ms B1_uT dwRF_Hz FA Tsat_ms
15000 0 0 90 2500
3500 2 1022 90 2500
3500 2 766 90 2500
3500 1.7 766 90 2500
3500 1.5 1277 90 2500
3500 1.2 1277 90 2500
3500 1.2 1277 90 2500
3500 3 1022 90 2500
3500 0.5 766 90 2500
3500 3 1022 90 2500
3500 1 1788 90 2500
3500 2.2 1788 90 2500
3500 3.2 1277 90 2500
3500 1.5 766 90 2500
3500 0.7 1277 90 2500
3500 1.5 1022 90 2500
3500 2.2 766 90 2500
3500 2.5 1022 90 2500
3500 1.2 1277 90 2500
3500 3 1788 90 2500
3500 0.2 1788 90 2500
3500 1.5 766 90 2500
3500 2.5 1022 90 2500
3500 0.7 1788 90 2500
3500 4 766 90 2500
3500 3.2 1788 90 2500
3500 3.5 1788 90 2500
3500 1.5 1788 90 2500
3500 2.7 1022 90 2500
3500 0.7 1277 90 2500
3500 0.5 1022 90 2500
